university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
Zhezkazgan University named after O. A. Baikonurov,Mining engineering,Maths,Physics,400,285,95,0,15,5
Karaganda State Technical University,Mining engineering,Maths,Physics,400,285,95,0,15,5
Kokshetau State University named after Sh. Ualikhanov,Mining engineering,Maths,Physics,400,285,95,0,15,5
University Bolashak,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
Rudny Industrial Institute,Mining engineering,Maths,Physics,400,285,95,0,15,5
Taraz State Pedagogical University,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
West Kazakhstan State University named after M. Utemisov,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
East Kazakhstan State Technical University named after D. Serikbayev,Mining engineering,Maths,Physics,400,285,95,0,15,5
Regional Social Innovation University,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
South Kazakhstan State University named after M.O. Auezov,mining engineering,Creative exam,Creative exam,9,7,2,0,0,0
Al-Farabi Kazakh National University,Museum business and conservation,The World History,Geography,40,13,10,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,Museum business and conservation,The World History,Geography,40,13,10,0,0,0
South Kazakhstan State University named after M.O. Auezov,Museum business and conservation,The World History,Geography,40,13,10,0,0,0
Kazakh National Conservatory named after Kurmangazy,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Kazakh State Women's Pedagogical University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Kazakh National Pedagogical University named after Abay,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Arkalyk State Pedagogical Institute named after I. Altynsarin,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Atyrau State University named after H. Dosmukhamedov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Syrdaria University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Kostanay State Pedagogical Institute,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Kyzylorda State University named after Korkyt Ata,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
University Bolashak,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Pavlodar State Pedagogical Institute,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Pavlodar State University named after S. Toraigyrov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
North Kazakhstan State University named after M. Kozybaev,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Shakarim Semey State University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Zhetysu State University named after I. Zhansugurov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Taraz State Pedagogical University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
International Kazakh-Turkish University named after H.A. Yassavi,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
West Kazakhstan State University named after M. Utemisov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
East Kazakhstan State University named after S. Amanzholov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
International University of Humanities and Technology,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Regional Social Innovation University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Shymkent University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
South Kazakhstan State Pedagogical Institute,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
South Kazakhstan State University named after M.O. Auezov,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
South Kazakhstan Pedagogical University,Musical education,Creative exam,Creative exam,63,36,12,0,11,4
Aktobe State Regional University named after K.Zhubanov,Musicology,Creative exam,Creative exam,0,0,0,0,0,0
