id,university,prof_title,first_lesson,second_lesson,total grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Кокшетауский государственный университет имени Ш. Уалиханова,Почвоведение и агрохимия,Биология,Химия,100,75,25,0,0,0
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Почвоведение и агрохимия,Биология,Химия,100,75,25,0,0,0
,Казахстанский инженерно-технологический университет,Почвоведение и агрохимия,Биология,Химия,100,75,25,0,0,0
,Западно-Казахстанский аграрно-технический университет имени Жангир хана,Почвоведение и агрохимия,Биология,Химия,100,75,25,0,0,0
,Казахский национальный аграрный университет,Плодоовощеводство,Биология,Химия,50,38,12,0,0,0
,Казахстанский инженерно-технологический университет,Плодоовощеводство,Биология,Химия,50,38,12,0,0,0
,Казахский национальный аграрный университет,"Мелиорация, рекультивация и охрана земель",Математика,Физика,36,27,9,0,0,0
,Кызылординский государственный университет имени Коркыт Ата,"Мелиорация, рекультивация и охрана земель",Математика,Физика,36,27,9,0,0,0
,Таразский государственный университет имени М.Дулати,"Мелиорация, рекультивация и охрана земель",Математика,Физика,36,27,9,0,0,0
,Казахский агротехнический университет имени С. Сейфуллина,Защита и карантин растений,Биология,Химия,126,87,29,0,8,2
,Казахский национальный аграрный университет,Защита и карантин растений,Биология,Химия,126,87,29,0,8,2
,Западно-Казахстанский аграрно-технический университет имени Жангир хана,Защита и карантин растений,Биология,Химия,126,87,29,0,8,2
,Казахский агротехнический университет имени С. Сейфуллина,Энергообеспечение сельского хозяйства,Математика,Физика,58,44,14,0,0,0
,Казахский национальный аграрный университет,Энергообеспечение сельского хозяйства,Математика,Физика,58,44,14,0,0,0
,Таразский государственный университет имени М.Дулати,Энергообеспечение сельского хозяйства,Математика,Физика,58,44,14,0,0,0
,Алматинский университет энергетики и связи,Энергообеспечение сельского хозяйства,Математика,Физика,58,44,14,0,0,0
,Казахский агротехнический университет имени С. Сейфуллина,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Актюбинский государственный региональный университет им.К.Жубанова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Атырауский университет нефти и газа,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Восточно-Казахстанский государственный технический университет имени Д. Серикбаева,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Жезказганский университет имени О. А. Байконурова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Казахская академия транспорта и коммуникаций имени М. Тынышпаева,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Казахский национальный аграрный университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Карагандинский государственный университет имени Е. А. Букетова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Карагандинский государственный технический университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Кызылординский государственный университет имени Коркыт Ата,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Кокшетауский государственный университет имени Ш. Уалиханова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Павлодарский государственный университет имени С. Торайгырова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Рудненский индустриальный институт,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Государственный университет имени Шакарима г.Семей,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Таразский государственный университет имени М.Дулати,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Казахская автомобильно-дорожная академия имени Л.Гончарова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Центрально-Азиатский университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Гуманитарно-технический институт «Акмешит»,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Костанайский инженерно-экономический университет им.М.Дулатова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Инновационный Евразийский университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Кокшетауский университет имени А. Мырзахметова,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Евразийский технический университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Казахский университет путей сообщения,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Университет «Астана»,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Западно-Казахстанский инновационно-технологический университет,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Университет «Болашак»,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Актюбинский университет им. С. Баишева,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Западно-Казахстанский аграрно-технический университет имени Жангир хана,"Организация перевозок, движения и эксплуатация транспорта",Математика,География,210,101,34,0,56,19
,Актюбинский государственный региональный университет им.К.Жубанова,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Казахский национальный педагогический университет имени Абая,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Атырауский государственный университет имени Х. Досмухамедова,Туризм,География,Иностранный язык,539,292,97,0,113,37
